"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,"FT","FT","FT","FT","FT","QA","QA","QA","QA","QA",,,,,,,,
OS_POWER_SHORT,passCurrLimit_uA,20000000,-50,GE,LE,50,uA,,,,,,2000,OS_POWER_SHORT_FAILED,2,OS_FAILED,,,no,
OS_VDD_FUNC,passVolt_mV,20010000,200,GE,LE,800,mV,,,,,,2001,OS_VDD_FUNC_FAILED,2,OS_FAILED,,,,
OS_VDD_PPMU,passVolt_mV,20020000,200,GE,LE,800,mV,,,,,,2002,OS_VDD_PPMU_FAILED,2,OS_FAILED,,,no,
OS_VSS_FUNC,passVolt_mV,20030000,-800,GE,LE,-200,mV,,,,,,2003,OS_VSS_FUNC_FAILED,2,OS_FAILED,,,,
OS_VSS_PPMU,passVolt_mV,20040000,-800,GE,LE,-200,mV,,,,,,2004,OS_VSS_PPMU_FAILED,2,OS_FAILED,,,no,
FC_LBID_READ,ID,20050000,1,GE,LE,99,,,,,,,2005,FC_LBID_READ_FAILED,2,OS_FAILED,,,no,
PROD_ID,ProductionID,40000000,18,GE,LE,18,,,,,,,4000,PROD_ID_FAILED,4,OTHER_FAILED,,,no,
MANUFACTURER_ID,ManufacturerID,40010000,168,GE,LE,168,,,,,,,4001,MANUFACTURER_ID_FAILED,4,OTHER_FAILED,,,no,
IIHL,passCurrentLow_uA,30000000,-5,GE,LE,5,uA,,,,,,3000,IIHL_FAILED,3,DC_FAILED,,,,
IIHL,passCurrentHigh_uA,30000001,-5,GE,LE,5,uA,,,,,,3000,IIHL_FAILED,3,DC_FAILED,,,,
DFT_MAIN,Functional,40020000,1,GE,LE,1,,,,,,,4002,DFT_MAIN_FAILED,4,OTHER_FAILED,,,,
DFT_RX1,Functional,40030000,1,GE,LE,1,,,,,,,4003,DFT_RX1_FAILED,4,OTHER_FAILED,,,,
DFT_RX2,Functional,40040000,1,GE,LE,1,,,,,,,4004,DFT_RX2_FAILED,4,OTHER_FAILED,,,,
DFT_TX,Functional,40050000,1,GE,LE,1,,,,,,,4005,DFT_TX_FAILED,4,OTHER_FAILED,,,,
DC_RXA_VCOM,passVoltageLimit_mV,30010000,550,GE,LE,750,,,,,,,3001,DC_RXA_VCOM_FAILED,3,DC_FAILED,,,,
DC_RXB_VCOM,passVoltageLimit_mV,30020000,550,GE,LE,750,,,,,,,3002,DC_RXB_VCOM_FAILED,3,DC_FAILED,,,,
DC_MRX_VCOM,passVoltageLimit_mV,30030000,200,GE,LE,400,,,,,,,3003,DC_MRX_VCOM_FAILED,3,DC_FAILED,,,,
DPS_MEAS,VDD1P0_RX1,40060000,-0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
DPS_MEAS,VDD1P0_RX2,40060001,-0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
DPS_MEAS,VDD1P0_TX,40060002,-0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
DPS_MEAS,VDD1P8_TX,40060003,-0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
DPS_MEAS,VDD1P0_PLL,40060004,-0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
DPS_MEAS,VDD1P0_TXVCO,40060005,-0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
DPS_MEAS,VDD1P8_DIG,40060006,-0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P0_RX1,40070000,-0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P0_RX2,40070001,-0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P0_TX,40070002,-0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P8_TX,40070003,-0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P0_PLL,40070004,-0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P0_TXVCO,40070005,-0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P8_DIG,40070006,-0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,I_PowUp,40070007,0.5,GE,LE,5,mA,,,,,,4007,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
DPS_MEAS,I_PowUp,40060007,0.5,GE,LE,5,mA,,,,,,4006,DPS_MEAS_FAILED,4,OTHER_FAILED,,,,
SLEEP_CURRENT,VDD1P0_RX1,40080000,-0.05,GE,LE,0.15,mA,,,,,,4008,SLEEP_CURRENT_FAILED,4,OTHER_FAILED,,,,
SLEEP_CURRENT,VDD1P0_RX2,40080001,-0.05,GE,LE,0.15,mA,,,,,,4008,SLEEP_CURRENT_FAILED,4,OTHER_FAILED,,,,
SLEEP_CURRENT,VDD1P0_TX,40080002,-0.05,GE,LE,0.15,mA,,,,,,4008,SLEEP_CURRENT_FAILED,4,OTHER_FAILED,,,,
SLEEP_CURRENT,VDD1P8_TX,40080003,-0.05,GE,LE,0.15,mA,,,,,,4008,SLEEP_CURRENT_FAILED,4,OTHER_FAILED,,,,
SLEEP_CURRENT,VDD1P0_PLL,40080004,-0.05,GE,LE,0.15,mA,,,,,,4008,SLEEP_CURRENT_FAILED,4,OTHER_FAILED,,,,
SLEEP_CURRENT,VDD1P0_TXVCO,40080005,-0.05,GE,LE,0.15,mA,,,,,,4008,SLEEP_CURRENT_FAILED,4,OTHER_FAILED,,,,
SLEEP_CURRENT,VDD1P8_DIG,40080006,-0.05,GE,LE,0.15,mA,,,,,,4008,SLEEP_CURRENT_FAILED,4,OTHER_FAILED,,,,
